Order ID,Product,Category,Price,Quantity,Location,Order Date
ORD-00001,Jacket,Clothing,784.59,6,San Francisco,2024-11-13
ORD-00002,Football,Sports,148.98,10,Los Angeles,2023-12-01
ORD-00003,Jeans,Clothing,701.53,4,Los Angeles,2023-12-15
ORD-00004,Headphones,Electronics,763.24,10,San Francisco,2024-03-08
ORD-00005,Shoes,Clothing,353.9,1,Chicago,2024-04-17
ORD-00006,Shoes,Clothing,829.48,1,New York,2024-10-22
ORD-00007,Shirt,Clothing,922.29,5,Chicago,2024-08-25
ORD-00008,Action Figure,Toys,690.05,3,San Francisco,2024-04-29
ORD-00009,Jacket,Clothing,705.8,6,New York,2024-06-17
ORD-00010,Fiction,Books,292.86,9,New York,2024-09-06
ORD-00011,Textbook,Books,601.21,8,San Francisco,2023-12-09
ORD-00012,Shirt,Clothing,389.85,3,New York,2024-02-12
ORD-00013,Jacket,Clothing,487.26,10,New York,2024-06-30
ORD-00014,Textbook,Books,734.72,7,Houston,2024-01-26
ORD-00015,Textbook,Books,635.92,9,Los Angeles,2024-05-27
ORD-00016,Basketball,Sports,783.02,7,Houston,2024-05-02
ORD-00017,Tablet,Electronics,996.02,6,New York,2024-10-04
ORD-00018,Biography,Books,741.98,4,Los Angeles,2024-03-23
ORD-00019,Puzzle,Toys,419.93,9,New York,2024-09-08
ORD-00020,Microwave,Home & Kitchen,323.52,5,Chicago,2024-07-12
ORD-00021,Cookware,Home & Kitchen,136.21,2,New York,2024-03-16
ORD-00022,Blender,Home & Kitchen,732.51,5,New York,2024-06-17
ORD-00023,Biography,Books,308.1,7,Chicago,2024-10-26
ORD-00024,Tennis Racket,Sports,189.48,6,San Francisco,2024-05-23
ORD-00025,Puzzle,Toys,560.68,9,New York,2024-03-03
ORD-00026,Football,Sports,685.87,7,San Francisco,2024-04-26
ORD-00027,Phone,Electronics,375.83,5,Los Angeles,2024-02-16
ORD-00028,Cookware,Home & Kitchen,108.4,3,Houston,2024-10-21
ORD-00029,Fiction,Books,356.58,2,San Francisco,2023-12-16
ORD-00030,Non-Fiction,Books,741.89,1,Chicago,2024-08-19
ORD-00031,Building Blocks,Toys,143.28,3,Houston,2024-02-27
ORD-00032,Tablet,Electronics,666.72,1,Chicago,2024-05-19
ORD-00033,Building Blocks,Toys,361.58,2,Houston,2024-07-01
ORD-00034,Basketball,Sports,108.48,8,Houston,2024-11-03
ORD-00035,Textbook,Books,452.5,4,New York,2024-08-29
ORD-00036,Blender,Home & Kitchen,296.61,10,New York,2024-06-25
ORD-00037,Phone,Electronics,772.37,9,Chicago,2024-02-17
ORD-00038,Jeans,Clothing,799.08,8,San Francisco,2024-07-18
ORD-00039,Football,Sports,635.5,4,New York,2024-05-20
ORD-00040,Jacket,Clothing,164.81,6,New York,2024-02-03
ORD-00041,Yoga Mat,Sports,506.41,1,San Francisco,2024-04-14
ORD-00042,Football,Sports,904.23,1,New York,2024-09-11
ORD-00043,Microwave,Home & Kitchen,104.91,1,Los Angeles,2024-09-16
ORD-00044,Textbook,Books,210.65,3,New York,2024-05-27
ORD-00045,Building Blocks,Toys,132.84,9,San Francisco,2024-01-25
ORD-00046,Basketball,Sports,259.64,4,Chicago,2024-02-28
ORD-00047,Yoga Mat,Sports,949.21,4,San Francisco,2024-02-11
ORD-00048,Shirt,Clothing,651.75,1,San Francisco,2024-06-25
ORD-00049,Fiction,Books,127.96,5,San Francisco,2024-10-25
ORD-00050,Football,Sports,491.46,6,Los Angeles,2024-09-26
ORD-00051,Microwave,Home & Kitchen,938.17,5,Chicago,2024-06-05
ORD-00052,Action Figure,Toys,304.13,4,Houston,2024-07-24
ORD-00053,Vacuum Cleaner,Home & Kitchen,611.49,6,Los Angeles,2024-10-27
ORD-00054,Basketball,Sports,525.21,10,Los Angeles,2024-07-11
ORD-00055,Laptop,Electronics,432.08,1,Houston,2024-05-19
ORD-00056,Fiction,Books,128.63,10,New York,2024-09-06
ORD-00057,Shirt,Clothing,987.54,2,Chicago,2024-03-19
ORD-00058,Laptop,Electronics,125.09,4,Los Angeles,2024-06-02
ORD-00059,Tablet,Electronics,676.73,2,Los Angeles,2024-03-21
ORD-00060,Non-Fiction,Books,955.8,10,Houston,2024-02-07
ORD-00061,Phone,Electronics,286.7,6,Los Angeles,2024-07-14
ORD-00062,Building Blocks,Toys,605.1,3,New York,2024-06-22
ORD-00063,Jeans,Clothing,505.85,7,Houston,2024-02-12
ORD-00064,Puzzle,Toys,713.57,8,Houston,2024-08-28
ORD-00065,Blender,Home & Kitchen,562.68,5,Los Angeles,2024-09-26
ORD-00066,Phone,Electronics,168.33,1,Los Angeles,2024-05-24
ORD-00067,Action Figure,Toys,785.39,7,Chicago,2024-03-08
ORD-00068,Shirt,Clothing,259.78,3,San Francisco,2024-03-04
ORD-00069,Non-Fiction,Books,106.36,7,Los Angeles,2023-12-13
ORD-00070,Football,Sports,698.21,6,San Francisco,2024-05-11
ORD-00071,Puzzle,Toys,979.67,6,Houston,2024-04-13
ORD-00072,Phone,Electronics,498.36,4,New York,2024-10-17
ORD-00073,Microwave,Home & Kitchen,441.57,9,New York,2024-07-28
ORD-00074,Shirt,Clothing,278.82,2,San Francisco,2024-05-25
ORD-00075,Headphones,Electronics,966.41,1,Los Angeles,2024-10-20
ORD-00076,Cookware,Home & Kitchen,254.48,5,Houston,2024-01-30
ORD-00077,Biography,Books,814.74,4,Chicago,2024-05-14
ORD-00078,Vacuum Cleaner,Home & Kitchen,773.92,7,San Francisco,2024-01-13
ORD-00079,Cookware,Home & Kitchen,104.16,10,San Francisco,2024-05-11
ORD-00080,Fiction,Books,510.97,10,Los Angeles,2023-12-13
ORD-00081,Textbook,Books,267.46,1,Los Angeles,2024-07-16
ORD-00082,Headphones,Electronics,172.33,3,Houston,2024-01-22
ORD-00083,Microwave,Home & Kitchen,187.77,10,Los Angeles,2023-12-17
ORD-00084,Action Figure,Toys,293.21,8,Houston,2024-05-05
ORD-00085,Yoga Mat,Sports,139.7,8,Houston,2024-08-12
ORD-00086,Vacuum Cleaner,Home & Kitchen,923.52,9,San Francisco,2024-10-03
ORD-00087,Vacuum Cleaner,Home & Kitchen,230.19,8,San Francisco,2024-10-05
ORD-00088,Shoes,Clothing,847.77,5,Los Angeles,2024-07-12
ORD-00089,Shoes,Clothing,882.96,6,Houston,2024-07-31
ORD-00090,Building Blocks,Toys,620.93,4,Los Angeles,2024-03-31
ORD-00091,Jeans,Clothing,886.29,5,Houston,2024-03-12
ORD-00092,Microwave,Home & Kitchen,163.27,5,San Francisco,2024-02-10
ORD-00093,Laptop,Electronics,769.55,9,Houston,2024-02-01
ORD-00094,Shoes,Clothing,899.09,2,Houston,2024-08-02
ORD-00095,Phone,Electronics,214.23,7,New York,2024-04-12
ORD-00096,Puzzle,Toys,568.17,7,Chicago,2024-10-08
ORD-00097,Doll,Toys,125.6,2,New York,2024-07-15
ORD-00098,Tennis Racket,Sports,905.39,2,Chicago,2024-02-07
ORD-00099,Laptop,Electronics,576.97,10,Los Angeles,2024-07-03
ORD-00100,Puzzle,Toys,707.86,4,New York,2024-09-16
ORD-00101,Blender,Home & Kitchen,375.29,1,Los Angeles,2024-08-12
ORD-00102,Vacuum Cleaner,Home & Kitchen,514.1,5,Los Angeles,2024-03-09
ORD-00103,Action Figure,Toys,915.7,4,Los Angeles,2023-12-14
ORD-00104,Biography,Books,555.86,9,New York,2024-04-17
ORD-00105,Microwave,Home & Kitchen,261.03,7,Los Angeles,2024-01-13
ORD-00106,Yoga Mat,Sports,81.52,6,Los Angeles,2024-11-09
ORD-00107,Jeans,Clothing,166.05,6,Houston,2024-08-18
ORD-00108,Jacket,Clothing,60.39,10,New York,2024-08-06
ORD-00109,Fiction,Books,84.65,1,San Francisco,2024-01-31
ORD-00110,Shirt,Clothing,464.96,4,San Francisco,2024-07-23
ORD-00111,Tablet,Electronics,575.59,5,Houston,2024-01-20
ORD-00112,Textbook,Books,45.77,3,New York,2024-06-10
ORD-00113,Football,Sports,872.52,9,Chicago,2024-03-07
ORD-00114,Football,Sports,169.47,10,Los Angeles,2024-06-20
ORD-00115,Basketball,Sports,772.69,4,Houston,2024-05-08
ORD-00116,Shoes,Clothing,688.95,8,San Francisco,2024-06-24
ORD-00117,Microwave,Home & Kitchen,601.19,1,Chicago,2024-07-16
ORD-00118,Microwave,Home & Kitchen,74.89,9,New York,2024-11-12
ORD-00119,Headphones,Electronics,800.13,1,San Francisco,2024-04-04
ORD-00120,Phone,Electronics,967.35,9,New York,2024-11-09
ORD-00121,Football,Sports,599.77,4,New York,2024-06-23
ORD-00122,Vacuum Cleaner,Home & Kitchen,449.23,5,Houston,2024-01-30
ORD-00123,Action Figure,Toys,517.39,9,San Francisco,2024-07-13
ORD-00124,Yoga Mat,Sports,921.11,2,Chicago,2024-08-06
ORD-00125,Jacket,Clothing,787.13,6,New York,2024-11-13
ORD-00126,Doll,Toys,802.98,10,San Francisco,2024-07-27
ORD-00127,Shoes,Clothing,864.88,10,New York,2024-09-07
ORD-00128,Puzzle,Toys,940.7,8,Los Angeles,2024-08-29
ORD-00129,Cookware,Home & Kitchen,286.11,10,Los Angeles,2024-10-21
ORD-00130,Basketball,Sports,446.91,8,San Francisco,2023-12-19
ORD-00131,Action Figure,Toys,90.81,2,Los Angeles,2024-05-17
ORD-00132,Cookware,Home & Kitchen,103.67,3,San Francisco,2024-04-20
ORD-00133,Building Blocks,Toys,342.97,2,Los Angeles,2024-09-30
ORD-00134,Fiction,Books,728.7,1,San Francisco,2024-10-28
ORD-00135,Jeans,Clothing,211.96,4,San Francisco,2024-11-13
ORD-00136,Jeans,Clothing,246.4,8,Houston,2024-11-20
ORD-00137,Building Blocks,Toys,637.33,6,Los Angeles,2024-10-31
ORD-00138,Cookware,Home & Kitchen,275.38,8,San Francisco,2024-09-05
ORD-00139,Headphones,Electronics,796.92,7,Los Angeles,2024-02-28
ORD-00140,Tennis Racket,Sports,615.02,7,New York,2024-08-17
ORD-00141,Puzzle,Toys,199.81,6,New York,2024-08-25
ORD-00142,Cookware,Home & Kitchen,806.14,3,San Francisco,2024-01-11
ORD-00143,Tennis Racket,Sports,209.98,10,Chicago,2024-03-13
ORD-00144,Fiction,Books,95.04,9,New York,2024-03-30
ORD-00145,Microwave,Home & Kitchen,581.91,2,Chicago,2024-04-20
ORD-00146,Yoga Mat,Sports,986.79,4,San Francisco,2024-01-27
ORD-00147,Blender,Home & Kitchen,418.7,7,New York,2024-03-28
ORD-00148,Phone,Electronics,385.95,8,Los Angeles,2024-01-23
ORD-00149,Jeans,Clothing,589.96,2,Los Angeles,2024-05-29
ORD-00150,Fiction,Books,357.77,3,Chicago,2024-01-31
ORD-00151,Basketball,Sports,224.2,7,San Francisco,2024-11-13
ORD-00152,Tennis Racket,Sports,107.46,10,San Francisco,2023-12-24
ORD-00153,Microwave,Home & Kitchen,838.32,4,Chicago,2024-08-28
ORD-00154,Blender,Home & Kitchen,820.84,4,Houston,2024-01-29
ORD-00155,Biography,Books,730.01,8,Los Angeles,2024-03-26
ORD-00156,Action Figure,Toys,291.71,1,Los Angeles,2024-08-03
ORD-00157,Headphones,Electronics,504.21,4,Houston,2024-04-22
ORD-00158,Fiction,Books,16.99,9,New York,2024-05-07
ORD-00159,Fiction,Books,908.91,7,Houston,2024-04-11
ORD-00160,Shoes,Clothing,99.79,8,Chicago,2024-06-13
ORD-00161,Jacket,Clothing,93.5,9,Los Angeles,2024-02-02
ORD-00162,Blender,Home & Kitchen,385.66,8,New York,2024-03-01
ORD-00163,Yoga Mat,Sports,600.03,7,San Francisco,2023-12-02
ORD-00164,Non-Fiction,Books,889.53,6,Los Angeles,2024-01-13
ORD-00165,Doll,Toys,982.66,1,San Francisco,2024-09-26
ORD-00166,Jacket,Clothing,721.78,1,New York,2024-04-08
ORD-00167,Doll,Toys,524.8,1,Houston,2024-10-17
ORD-00168,Jeans,Clothing,778.24,7,Houston,2024-10-24
ORD-00169,Football,Sports,423.44,1,New York,2024-06-10
ORD-00170,Non-Fiction,Books,26.56,5,Houston,2024-04-13
ORD-00171,Laptop,Electronics,37.3,4,San Francisco,2024-07-03
ORD-00172,Shoes,Clothing,143.64,2,New York,2024-09-18
ORD-00173,Microwave,Home & Kitchen,829.67,9,Los Angeles,2024-09-20
ORD-00174,Microwave,Home & Kitchen,561.99,6,New York,2024-10-25
ORD-00175,Headphones,Electronics,72.99,3,San Francisco,2024-08-23
ORD-00176,Puzzle,Toys,356.91,2,Los Angeles,2024-08-07
ORD-00177,Non-Fiction,Books,848.99,10,Chicago,2024-11-10
ORD-00178,Cookware,Home & Kitchen,263.46,6,Chicago,2024-04-23
ORD-00179,Textbook,Books,394.2,9,New York,2024-07-14
ORD-00180,Blender,Home & Kitchen,791.31,1,Houston,2023-12-19
ORD-00181,Phone,Electronics,879.19,9,Los Angeles,2023-12-10
ORD-00182,Shirt,Clothing,367.79,8,New York,2024-08-01
ORD-00183,Tennis Racket,Sports,596.1,9,San Francisco,2024-06-02
ORD-00184,Football,Sports,554.62,7,Chicago,2023-12-07
ORD-00185,Textbook,Books,102.7,9,New York,2024-06-19
ORD-00186,Action Figure,Toys,729.44,10,Chicago,2024-07-24
ORD-00187,Phone,Electronics,759.56,5,Chicago,2023-12-14
ORD-00188,Microwave,Home & Kitchen,142.01,9,Los Angeles,2024-06-24
ORD-00189,Tablet,Electronics,493.18,10,Los Angeles,2024-04-06
ORD-00190,Textbook,Books,754.23,3,San Francisco,2024-10-28
ORD-00191,Blender,Home & Kitchen,856.01,10,San Francisco,2024-02-03
ORD-00192,Cookware,Home & Kitchen,448.8,7,Chicago,2024-03-06
ORD-00193,Cookware,Home & Kitchen,641.15,7,Houston,2023-11-30
ORD-00194,Non-Fiction,Books,474.08,4,Chicago,2024-08-07
ORD-00195,Cookware,Home & Kitchen,509.39,9,Houston,2024-03-13
ORD-00196,Blender,Home & Kitchen,485.51,8,Chicago,2024-02-15
ORD-00197,Biography,Books,429.65,5,Houston,2024-11-21
ORD-00198,Cookware,Home & Kitchen,584.55,5,Los Angeles,2024-08-25
ORD-00199,Biography,Books,642.91,10,Los Angeles,2024-07-31
ORD-00200,Textbook,Books,725.97,2,Los Angeles,2024-05-21
ORD-00201,Fiction,Books,563.71,10,Houston,2024-01-26
ORD-00202,Tablet,Electronics,896.01,2,Chicago,2024-05-14
ORD-00203,Phone,Electronics,774.21,4,Chicago,2024-08-01
ORD-00204,Laptop,Electronics,172.1,4,Houston,2024-03-11
ORD-00205,Biography,Books,478.53,8,Chicago,2024-11-22
ORD-00206,Blender,Home & Kitchen,872.11,9,Houston,2024-08-26
ORD-00207,Phone,Electronics,778.62,10,New York,2024-06-21
ORD-00208,Tablet,Electronics,272.48,3,Houston,2024-01-25
ORD-00209,Action Figure,Toys,36.85,7,New York,2024-09-17
ORD-00210,Vacuum Cleaner,Home & Kitchen,129.79,2,Los Angeles,2024-07-16
ORD-00211,Yoga Mat,Sports,40.57,5,Chicago,2024-01-17
ORD-00212,Football,Sports,760.28,6,San Francisco,2024-05-02
ORD-00213,Jacket,Clothing,550.37,1,Los Angeles,2024-06-11
ORD-00214,Tablet,Electronics,502.04,8,San Francisco,2024-02-27
ORD-00215,Headphones,Electronics,852.84,1,Los Angeles,2024-08-07
ORD-00216,Textbook,Books,848.89,2,New York,2024-09-05
ORD-00217,Yoga Mat,Sports,488.38,4,New York,2023-12-01
ORD-00218,Fiction,Books,612.28,3,Houston,2023-12-08
ORD-00219,Textbook,Books,559.06,7,Los Angeles,2024-07-05
ORD-00220,Microwave,Home & Kitchen,152.58,5,Los Angeles,2024-07-15
ORD-00221,Shoes,Clothing,940.79,10,Chicago,2023-12-26
ORD-00222,Jeans,Clothing,522.33,6,New York,2024-11-28
ORD-00223,Shoes,Clothing,634.55,5,Houston,2024-02-27
ORD-00224,Doll,Toys,66.53,7,Chicago,2024-08-31
ORD-00225,Phone,Electronics,452.98,9,Los Angeles,2024-04-02
ORD-00226,Jeans,Clothing,814.27,8,Houston,2024-03-08
ORD-00227,Shirt,Clothing,719.94,1,San Francisco,2024-07-15
ORD-00228,Laptop,Electronics,253.27,8,Chicago,2024-11-15
ORD-00229,Textbook,Books,397.71,8,Los Angeles,2023-12-03
ORD-00230,Jacket,Clothing,345.23,2,New York,2023-12-08
ORD-00231,Football,Sports,913.55,9,Houston,2024-04-16
ORD-00232,Non-Fiction,Books,143.23,4,San Francisco,2023-12-12
ORD-00233,Doll,Toys,882.72,2,Houston,2024-07-12
ORD-00234,Building Blocks,Toys,202.06,4,Chicago,2024-07-21
ORD-00235,Shoes,Clothing,870.09,3,Houston,2024-10-02
ORD-00236,Vacuum Cleaner,Home & Kitchen,347.21,2,Houston,2024-07-25
ORD-00237,Yoga Mat,Sports,272.89,9,San Francisco,2024-05-03
ORD-00238,Action Figure,Toys,819.24,2,Los Angeles,2024-03-23
ORD-00239,Blender,Home & Kitchen,932.58,3,Los Angeles,2024-01-03
ORD-00240,Tablet,Electronics,557.18,6,Houston,2024-03-24
ORD-00241,Biography,Books,581.42,4,Houston,2024-11-24
ORD-00242,Shirt,Clothing,13.26,6,Houston,2024-01-31
ORD-00243,Phone,Electronics,243.66,8,Chicago,2024-11-09
ORD-00244,Blender,Home & Kitchen,591.15,6,New York,2024-01-13
ORD-00245,Yoga Mat,Sports,813.71,6,New York,2023-12-30
ORD-00246,Textbook,Books,702.88,2,San Francisco,2024-04-12
ORD-00247,Jacket,Clothing,498.97,9,Los Angeles,2024-01-05
ORD-00248,Action Figure,Toys,223.27,2,Houston,2024-01-04
ORD-00249,Jacket,Clothing,763.49,3,Los Angeles,2024-08-27
ORD-00250,Laptop,Electronics,517.35,7,Chicago,2024-09-18
ORD-00251,Yoga Mat,Sports,652.74,8,New York,2023-12-08
ORD-00252,Shoes,Clothing,541.31,7,Houston,2024-06-19
ORD-00253,Doll,Toys,924.52,1,San Francisco,2024-03-07
ORD-00254,Textbook,Books,463.68,8,Los Angeles,2024-05-23
ORD-00255,Jacket,Clothing,712.38,1,San Francisco,2024-06-30
ORD-00256,Blender,Home & Kitchen,494.92,6,Los Angeles,2024-11-13
ORD-00257,Tennis Racket,Sports,81.4,5,New York,2024-09-28
ORD-00258,Jacket,Clothing,421.18,7,Houston,2024-08-25
ORD-00259,Shirt,Clothing,547.3,4,Houston,2024-05-25
ORD-00260,Biography,Books,583.54,5,San Francisco,2024-06-12
ORD-00261,Cookware,Home & Kitchen,534.62,6,Chicago,2023-12-01
ORD-00262,Cookware,Home & Kitchen,536.18,7,New York,2024-02-09
